Product,Brand,description,Price,Offer,Offer_price,Reviews,Free_coupon,Coupon
"RENEE Very  - Matte Lipstick Combo- Essentials, Pack Of 4, Full...",RENEE Very ,"Matte Lipstick Combo- Essentials, Pack Of 4, Full...",599.0,17,497,2534,No,No Gift
Swiss Beauty  - Select High On Shine Lipstick,Swiss Beauty ,Select High On Shine Lipstick,410.0,10,369,389,No,Free gift
Huda Beauty  - The Ultimate Lip Trio Set - Icon,Huda Beauty ,The Ultimate Lip Trio Set - Icon,2750.0,10,2475,214,No,No Gift
Faces Canada  - Comfy Matte Pro Liquid Lipstick,Faces Canada ,Comfy Matte Pro Liquid Lipstick,699.0,22,545,3358,No,No Gift
"Lakme Glitterati  - Lip Glaze, High Shine Lip Plumper Lip Gloss",Lakme Glitterati ,"Lip Glaze, High Shine Lip Plumper Lip Gloss",899.0,5,854,370,No,No Gift
Lakme Absolute  - Beyond Matte Lipstick,Lakme Absolute ,Beyond Matte Lipstick,825.0,10,742,745,No,No Gift
Parul Garg  - Beauty Day & Night Creamy Matte Lip Crayon,Parul Garg ,Beauty Day & Night Creamy Matte Lip Crayon,1374.0,0,1374,467,No,Free gift
Nykaa Gloss  - it Up! High Shine Lip Gloss,Nykaa Gloss ,it Up! High Shine Lip Gloss,550.0,30,385,11605,No,No Gift
Too Faced  - Lip Injection Extreme Lip Plumper (Lip Gloss)- Ori...,Too Faced ,Lip Injection Extreme Lip Plumper (Lip Gloss)- Ori...,1374.0,0,1374,3103,No,No Gift
Bronson Professional  - Liquid Matte Lipstick - Pack of 10,Bronson Professional ,Liquid Matte Lipstick - Pack of 10,850.0,59,348,276,No,No Gift
Revlon Colorstay  - Satin Ink Liquid Lip Color,Revlon Colorstay ,Satin Ink Liquid Lip Color,1299.0,10,1169,1750,No,No Gift
C Lustreglass  - Lipstick,C Lustreglass ,Lipstick,1374.0,0,1374,342,No,Free gift
Insight Cosmetics  - Creamy Lip & Cheek Tint,Insight Cosmetics ,Creamy Lip & Cheek Tint,235.0,5,223,1191,No,Free gift
Gush Beauty  - Dart It Hydrocolloid Pimple Patches,Gush Beauty ,Dart It Hydrocolloid Pimple Patches,399.0,25,299,1404,No,No Gift
Revlon Colorstay  - Suede Ink Lipstick,Revlon Colorstay ,Suede Ink Lipstick,1299.0,17,1078,1093,No,No Gift
NARS Afterglow  - Sensual Shine Lipstick,NARS Afterglow ,Sensual Shine Lipstick,1374.0,0,1374,9,No,No Gift
Guerlain Rouge  - G Refill Velvet,Guerlain Rouge ,G Refill Velvet,1374.0,0,1374,14,No,Free gift
Cosmetics Pout  - Pout Clout Lip Plumping Pen,Cosmetics Pout ,Pout Clout Lip Plumping Pen,1374.0,0,1374,169,No,No Gift
Maybelline New  - York Superstay Matte Ink Liquid Lipstick - Pa...,Maybelline New ,York Superstay Matte Ink Liquid Lipstick - Pa...,1374.0,0,1374,111633,No,No Gift
Etude House  - Dear Darling Lip and Cheek Tint,Etude House ,Dear Darling Lip and Cheek Tint,450.0,20,360,8639,No,No Gift
Colorbar XOXO  - Everlasting Matte Lipstick,Colorbar XOXO ,Everlasting Matte Lipstick,275.0,30,192,508,No,Free gift
Lakme Lip  - Love & Cheek Tint,Lakme Lip ,Love & Cheek Tint,349.0,10,314,1540,No,No Gift
DIOR Rouge  - Forever Liquid Lipstick,DIOR Rouge ,Forever Liquid Lipstick,1374.0,0,1374,249,No,No Gift
Cosmetics Monochromatic  - Monochromatic Multi Stick,Cosmetics Monochromatic ,Monochromatic Multi Stick,1374.0,0,1374,3499,No,No Gift
Lakme 9  - To 5 Primer + Shine Lipstick,Lakme 9 ,To 5 Primer + Shine Lipstick,550.0,10,495,1533,No,No Gift
Blue Heaven  - Powder Matte,Blue Heaven ,Powder Matte,180.0,12,158,14028,No,No Gift
Etude House  - Dear Darling Water Gel Lip and Cheek Tint,Etude House ,Dear Darling Water Gel Lip and Cheek Tint,450.0,15,382,9164,No,No Gift
NARS Powermatte  - Lip Pigment,NARS Powermatte ,Lip Pigment,1374.0,0,1374,12,No,No Gift
Yves Saint  - Laurent Loveshine Candy Glow,Yves Saint ,Laurent Loveshine Candy Glow,1374.0,0,1374,33,No,No Gift
Just Herbs  - Serum Infused Lip Gloss,Just Herbs ,Serum Infused Lip Gloss,225.0,25,168,1185,No,No Gift
MARS CineMagic  - Colored Lip Gloss,MARS CineMagic ,Colored Lip Gloss,299.0,7,278,471,No,No Gift
Blue Heaven  - Kiss & Blush Lip And Cheek Tint,Blue Heaven ,Kiss & Blush Lip And Cheek Tint,299.0,20,239,6543,No,No Gift
ETUDE HOUSE  - Fixing Tint Bar,ETUDE HOUSE ,Fixing Tint Bar,1150.0,15,977,250,No,No Gift
C MACximal  - Satin Mini Lipstick,C MACximal ,Satin Mini Lipstick,1374.0,0,1374,42,No,Free gift
Nykaa Gloss  - It Up! pH Lip & Cheek Gloss - Giving Magic - 11,Nykaa Gloss ,It Up! pH Lip & Cheek Gloss - Giving Magic - 11,575.0,10,517,2881,No,No Gift
FENTY BEAUTY  - Gloss Bomb Heat Universal Lip Luminizer + Plump...,FENTY BEAUTY ,Gloss Bomb Heat Universal Lip Luminizer + Plump...,1374.0,0,1374,159,No,No Gift
Love Earth  - Lip Crayon Non-Transfer Lipstick 1.O - Pack Of 5,Love Earth ,Lip Crayon Non-Transfer Lipstick 1.O - Pack Of 5,2499.0,60,999,54,No,No Gift
MARS Colorbum  - Liquid Matte Lipstick,MARS Colorbum ,Liquid Matte Lipstick,229.0,4,219,1819,No,No Gift
Kay Beauty  - Lip Plumper,Kay Beauty ,Lip Plumper,1374.0,0,1374,1092,No,No Gift
Bobbi Brown  - Luxe Matte Liquid Lip,Bobbi Brown ,Luxe Matte Liquid Lip,1374.0,0,1374,15,No,Free gift
